<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220304,07:50:00,1.3344000,1.3345000,1.3338000,1.3342000,6920
20220304,07:55:00,1.3343000,1.3344000,1.3339000,1.3340000,5614
20220304,08:00:00,1.3340000,1.3344000,1.3339000,1.3343000,6137
20220304,08:05:00,1.3342000,1.3346000,1.3341000,1.3345000,8370
20220304,08:10:00,1.3344000,1.3347000,1.3342000,1.3344000,5841
20220304,08:15:00,1.3344000,1.3347000,1.3342000,1.3346000,5052
20220304,08:20:00,1.3347000,1.3348000,1.3345000,1.3346000,5102
20220304,08:25:00,1.3346000,1.3347000,1.3343000,1.3345000,4610
20220304,08:30:00,1.3345000,1.3346000,1.3341000,1.3343000,6493
20220304,08:35:00,1.3343000,1.3344000,1.3338000,1.3338000,5478
20220304,08:40:00,1.3339000,1.3341000,1.3337000,1.3341000,4495
20220304,08:45:00,1.3341000,1.3341000,1.3337000,1.3338000,4221
20220304,08:50:00,1.3338000,1.3339000,1.3333000,1.3336000,5493
20220304,08:55:00,1.3336000,1.3337000,1.3332000,1.3335000,4291
20220304,09:00:00,1.3335000,1.3339000,1.3333000,1.3338000,6585
20220304,09:05:00,1.3338000,1.3343000,1.3336000,1.3342000,5349
20220304,09:10:00,1.3342000,1.3344000,1.3338000,1.3341000,4372
20220304,09:15:00,1.3341000,1.3342000,1.3338000,1.3342000,3556
20220304,09:20:00,1.3342000,1.3343000,1.3340000,1.3342000,2649
20220304,09:25:00,1.3342000,1.3345000,1.3341000,1.3345000,3207
20220304,09:30:00,1.3345000,1.3345000,1.3340000,1.3343000,4284
20220304,09:35:00,1.3343000,1.3343000,1.3335000,1.3339000,4815
20220304,09:40:00,1.3340000,1.3341000,1.3336000,1.3338000,2828
20220304,09:45:00,1.3338000,1.3340000,1.3336000,1.3340000,3591
20220304,09:50:00,1.3339000,1.3341000,1.3331000,1.3338000,5196
20220304,09:55:00,1.3338000,1.3338000,1.3332000,1.3335000,5286
20220304,10:00:00,1.3335000,1.3336000,1.3330000,1.3333000,5920
20220304,10:05:00,1.3333000,1.3343000,1.3330000,1.3335000,8698
20220304,10:10:00,1.3335000,1.3338000,1.3330000,1.3331000,6355
20220304,10:15:00,1.3330000,1.3334000,1.3325000,1.3328000,10948
20220304,10:20:00,1.3328000,1.3334000,1.3324000,1.3328000,7727
20220304,10:25:00,1.3328000,1.3331000,1.3323000,1.3326000,7725
20220304,10:30:00,1.3327000,1.3332000,1.3324000,1.3330000,8778
20220304,10:35:00,1.3330000,1.3331000,1.3322000,1.3324000,8795
20220304,10:40:00,1.3324000,1.3326000,1.3320000,1.3322000,7974
20220304,10:45:00,1.3322000,1.3327000,1.3319000,1.3326000,6696
20220304,10:50:00,1.3326000,1.3329000,1.3322000,1.3325000,7060
20220304,10:55:00,1.3325000,1.3325000,1.3317000,1.3322000,8947
20220304,11:00:00,1.3322000,1.3324000,1.3317000,1.3323000,9826
20220304,11:05:00,1.3323000,1.3327000,1.3316000,1.3319000,15204
20220304,11:10:00,1.3319000,1.3322000,1.3315000,1.3320000,12763
20220304,11:15:00,1.3320000,1.3323000,1.3315000,1.3316000,12763
20220304,11:20:00,1.3317000,1.3318000,1.3308000,1.3312000,9022
20220304,11:25:00,1.3312000,1.3322000,1.3311000,1.3316000,10680
20220304,11:30:00,1.3316000,1.3320000,1.3311000,1.3320000,9971
20220304,11:35:00,1.3319000,1.3320000,1.3312000,1.3315000,9961
20220304,11:40:00,1.3315000,1.3315000,1.3304000,1.3306000,9226
20220304,11:45:00,1.3306000,1.3312000,1.3301000,1.3312000,8103
20220304,11:50:00,1.3311000,1.3313000,1.3305000,1.3308000,8961
20220304,11:55:00,1.3309000,1.3313000,1.3305000,1.3309000,8965
20220304,12:00:00,1.3308000,1.3311000,1.3306000,1.3310000,8757
20220304,12:05:00,1.3310000,1.3312000,1.3306000,1.3306000,8157
20220304,12:10:00,1.3308000,1.3313000,1.3306000,1.3307000,10408
20220304,12:15:00,1.3307000,1.3311000,1.3304000,1.3310000,8157
20220304,12:20:00,1.3310000,1.3313000,1.3307000,1.3313000,7485
20220304,12:25:00,1.3312000,1.3315000,1.3307000,1.3314000,9245
20220304,12:30:00,1.3314000,1.3318000,1.3310000,1.3316000,6434
20220304,12:35:00,1.3316000,1.3319000,1.3313000,1.3315000,8087
20220304,12:40:00,1.3315000,1.3316000,1.3310000,1.3312000,5737
20220304,12:45:00,1.3312000,1.3317000,1.3311000,1.3313000,6830
20220304,12:50:00,1.3314000,1.3319000,1.3306000,1.3310000,6992
20220304,12:55:00,1.3310000,1.3311000,1.3305000,1.3306000,8835
20220304,13:00:00,1.3306000,1.3310000,1.3301000,1.3304000,8609
20220304,13:05:00,1.3304000,1.3305000,1.3298000,1.3304000,11278
20220304,13:10:00,1.3304000,1.3304000,1.3293000,1.3295000,10808
20220304,13:15:00,1.3295000,1.3304000,1.3293000,1.3300000,13019
20220304,13:20:00,1.3300000,1.3308000,1.3298000,1.3306000,9854
20220304,13:25:00,1.3306000,1.3314000,1.3303000,1.3314000,11393
20220304,13:30:00,1.3314000,1.3317000,1.3309000,1.3313000,10549
20220304,13:35:00,1.3312000,1.3314000,1.3308000,1.3310000,8815
20220304,13:40:00,1.3310000,1.3311000,1.3306000,1.3310000,7273
20220304,13:45:00,1.3309000,1.3315000,1.3307000,1.3314000,6205
20220304,13:50:00,1.3314000,1.3317000,1.3308000,1.3310000,5621
20220304,13:55:00,1.3310000,1.3313000,1.3307000,1.3311000,7173
20220304,14:00:00,1.3311000,1.3315000,1.3308000,1.3312000,7970
20220304,14:05:00,1.3311000,1.3315000,1.3308000,1.3312000,6849
20220304,14:10:00,1.3312000,1.3317000,1.3308000,1.3314000,8781
20220304,14:15:00,1.3314000,1.3315000,1.3300000,1.3302000,11263
20220304,14:20:00,1.3302000,1.3302000,1.3290000,1.3297000,11280
20220304,14:25:00,1.3296000,1.3299000,1.3291000,1.3295000,11227
20220304,14:30:00,1.3296000,1.3298000,1.3292000,1.3295000,6911
20220304,14:35:00,1.3294000,1.3296000,1.3289000,1.3291000,7575
20220304,14:40:00,1.3292000,1.3295000,1.3286000,1.3287000,7559
20220304,14:45:00,1.3287000,1.3290000,1.3283000,1.3287000,8927
20220304,14:50:00,1.3287000,1.3289000,1.3280000,1.3287000,7807
20220304,14:55:00,1.3285000,1.3292000,1.3283000,1.3291000,7284
20220304,15:00:00,1.3290000,1.3293000,1.3282000,1.3286000,9269
20220304,15:05:00,1.3286000,1.3290000,1.3283000,1.3290000,8792
20220304,15:10:00,1.3289000,1.3292000,1.3280000,1.3281000,10970
20220304,15:15:00,1.3283000,1.3285000,1.3278000,1.3281000,10555
20220304,15:20:00,1.3282000,1.3291000,1.3279000,1.3285000,10126
20220304,15:25:00,1.3285000,1.3286000,1.3278000,1.3283000,6964
20220304,15:30:00,1.3283000,1.3284000,1.3279000,1.3281000,5286
20220304,15:35:00,1.3281000,1.3282000,1.3272000,1.3276000,5181
20220304,15:40:00,1.3276000,1.3278000,1.3271000,1.3273000,7635
20220304,15:45:00,1.3273000,1.3274000,1.3266000,1.3269000,5986
20220304,15:50:00,1.3269000,1.3272000,1.3266000,1.3267000,5958
20220304,15:55:00,1.3268000,1.3268000,1.3258000,1.3265000,8605
20220304,16:00:00,1.3264000,1.3270000,1.3259000,1.3267000,13573
20220304,16:05:00,1.3266000,1.3280000,1.3265000,1.3276000,10765
20220304,16:10:00,1.3277000,1.3278000,1.3267000,1.3270000,8110
20220304,16:15:00,1.3270000,1.3273000,1.3260000,1.3264000,12625
20220304,16:20:00,1.3264000,1.3267000,1.3253000,1.3255000,11816
20220304,16:25:00,1.3255000,1.3266000,1.3252000,1.3263000,11620
20220304,16:30:00,1.3263000,1.3267000,1.3258000,1.3263000,9183
20220304,16:35:00,1.3258000,1.3275000,1.3255000,1.3268000,20907
20220304,16:40:00,1.3268000,1.3269000,1.3251000,1.3257000,17899
20220304,16:45:00,1.3257000,1.3258000,1.3232000,1.3240000,19443
20220304,16:50:00,1.3239000,1.3242000,1.3227000,1.3229000,14869
20220304,16:55:00,1.3229000,1.3230000,1.3217000,1.3224000,17161
20220304,17:00:00,1.3224000,1.3238000,1.3219000,1.3231000,16942
20220304,17:05:00,1.3230000,1.3241000,1.3226000,1.3240000,14916
20220304,17:10:00,1.3240000,1.3243000,1.3232000,1.3242000,13111
20220304,17:15:00,1.3242000,1.3249000,1.3239000,1.3243000,12218
20220304,17:20:00,1.3242000,1.3246000,1.3236000,1.3240000,14140
20220304,17:25:00,1.3240000,1.3243000,1.3232000,1.3238000,11089
20220304,17:30:00,1.3237000,1.3238000,1.3218000,1.3221000,12587
20220304,17:35:00,1.3221000,1.3229000,1.3216000,1.3227000,18142
20220304,17:40:00,1.3227000,1.3232000,1.3220000,1.3230000,13941
20220304,17:45:00,1.3229000,1.3231000,1.3221000,1.3227000,13216
20220304,17:50:00,1.3226000,1.3228000,1.3207000,1.3213000,15611
